ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,CYIELD,TEMPMAX,DY_SK,PL_HT,E_HT,ASI,P_ASP,P_HARV,E_HARV,E_ASP,GWT,1000GWT,HUSK,RL,RLPER,SL,SLPER,E_ROT,RUST,BLIGHT,CURV,DIPLODIA,DM,ANTHESIS,STALK_ROT,STREAK,INSECT,MOIST,COBDAMCO,COBDAMRT,DEADHEART,SBDAMAT,BORERDMRAT,GLS,GTEXT,PLST
1,Evt-Esr (White),M8901KB,1,ACR 86 TZESR W,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3526.06,,50.25,165,97.5,,3,38.75,39.5,2.25,,,2,4.25,10.97,0.75,1.93,,,,,,,58.25,,,,,,,,,,,,
2,Evt-Esr (White),M8901KB,2,ACR 87 POOL16 SR,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3097.5,,49.75,152.5,82.5,,2.5,40,36.75,2.25,,,2,5.75,14.43,4.25,10.79,0.75,,,,,,60.5,,,,,,,,,,,,
3,Evt-Esr (White),M8901KB,3,ACR (2) 87 DMR-ESRW,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3500.27,,53,161.25,98.75,,2.75,40.5,38.75,2.25,,,2.5,3.75,9.52,2,5.01,,,,,,,56,,,,,,,,,,,,
4,Evt-Esr (White),M8901KB,4,ACR 8730 SR BC6,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3445.36,,49.25,155,85,,2.25,41,40,2.5,,,2.25,6,14.65,3,7.41,0.25,,,,,,55,,,,,,,,,,,,
5,Evt-Esr (White),M8901KB,5,BU-ESR W C12,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,2907.72,,53.25,153.75,87.5,,2.5,41.25,34.25,1.75,,,1.75,5.25,12.75,3.5,8.48,,,,,,,60.75,,,,,,,,,,,,
6,Evt-Esr (White),M8901KB,6,GUSAU 81 POOL-16,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3041.39,,50.75,156.25,85,,2.25,33.5,32.5,1.5,,,2,3.75,12.68,2.25,8.34,,,,,,,,,,,,,,,,,,,
7,Evt-Esr (White),M8901KB,7,LOCAL CHECK 1,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,2630.35,,49,158.75,77.5,,3.25,36.5,32.25,2,,,2.25,4.5,12.15,3.75,9.73,0.25,,,,,,56,,,,,,,,,,,,
8,Evt-Esr (White),M8901KB,8,LOCAL CHECK 2,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3148.65,,51,166.25,90,,3,37,38.75,2,,,2,4,10.72,0.5,1.49,,,,,,,63.25,,,,,,,,,,,,
9,Evt-E/Isr (Yellow),M8902KB,1,TZESR Y C3,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3938.01,,54.67,168.33,88.33,,2.67,31.67,33.33,2.33,,,2.67,4,13.43,3,9.66,,,,,,,50.5,,,,,,,,,,,,
10,Evt-E/Isr (Yellow),M8902KB,2,POOL16 SR SG Y,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,4362.69,,52.33,155,71.67,,2.67,35.33,33,2.67,,,2.67,4,14.53,4.33,13.99,0.67,,,,,,58.75,,,,,,,,,,,,
11,Evt-E/Isr (Yellow),M8902KB,3,DMR-ESRY,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,4620.75,,52,181.67,103.33,,2.67,34.67,32.33,2.33,,,2.67,3,10.25,1.67,5.6,0.33,,,,,,57.75,,,,,,,,,,,,
12,Evt-E/Isr (Yellow),M8902KB,4,BU-ESR W SG Y,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3308.79,,54.67,146.67,65,,2.67,30.33,29,1.67,,,1.67,2,5.71,1.67,8.21,,,,,,,56,,,,,,,,,,,,
13,Evt-E/Isr (Yellow),M8902KB,5,TZUT SR Y C3,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,4701.03,,55.67,175,83.33,,2.33,37.67,34,2,,,2,3.67,9.08,3.67,9.5,,,,,,,60.25,,,,,,,,,,,,
14,Evt-E/Isr (Yellow),M8902KB,6,EV 8766 SR,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3599.85,,55.33,158.33,76.67,,3,21.67,24.67,2.67,,,2,,,3,16.49,,,,,,,,,,,,,,,,,,,
15,Evt-E/Isr (Yellow),M8902KB,7,ACR 8731 SR BC6,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,3782.03,,53.33,180,90,,3,33.33,32,2.33,,,2,2.67,8.12,4.67,14.39,,,,,,,,,,,,,,,,,,,
16,Evt-E/Isr (Yellow),M8902KB,8,LOCAL CHECK 1,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,2965.15,,49.67,150,76.67,,2.67,28,25.33,2,,,2.33,2.33,10.07,7,24.86,0.33,,,,,,,,,,,,,,,,,,
17,Evt-E/Isr (Yellow),M8902KB,9,LOCAL CHECK 2,NIGERIA,KAMBOINSE,,-1.55,12.5,Dry Savanna,1989,2717.06,,52.33,141.67,61.67,,2.67,27.33,24.67,2.67,,,2.67,4.67,15.4,2,9.52,0.33,,,,,,,,,,,,,,,,,,
18,International Hybrid Maize Trial (White),K9001FA,1,8321-18,NIGERIA,LOKOJADP,,-4.33,11.1,Moist Savanna,1990,4291.59,,65.5,207,96.75,,,42.75,33,,,,4.25,1.25,2.84,1,2.45,,,,,,,82.46,,2.3,,,,,,,,,,
19,International Hybrid Maize Trial (White),K9001FA,2,8321-21,NIGERIA,LOKOJADP,,-4.33,11.1,Moist Savanna,1990,3394.48,,66.25,191.75,89.75,,,41.75,29.25,,,,11,0.25,0.58,2.25,5.47,,,,,,,82.95,,2.6,,,,,,,,,,
20,International Hybrid Maize Trial (White),K9001FA,3,8428-19,NIGERIA,LOKOJADP,,-4.33,11.1,Moist Savanna,1990,3539.95,,66,192,91.25,,,43.75,32.5,,,,5.5,1.75,3.98,0.75,1.69,,,,,,,,,,,,,,,,,,,
